initials;full-name;action-object;description
MH;Mama Heffalump;;Pooh's Heffalump Movie
MO;Mama Odie;;The Princess and the Frog
MH;Man the Hunter;;Bambi
M;Marahute;;The Rescuers Down Under
MH;March Hare;;Alice in Wonderland
M;Marie;;The Aristocats
M;Markowski;;Wreck-It Ralph
MA;Marlon the Alligator;;The Princess and the Frog
MD;Mary Darling;;Peter Pan
TM;The Matchmaker;;Mulan
M;Maui;;Moana
M;Maurice;;Beauty and the Beast
MG;Max Goof;;Goof Troop
MH;Max Hare;;The Tortoise and the Hare
MS;Max the Sheepdog;;The Little Mermaid
M;Maximus;;Tangled
M;May;;House of Mouse
ML;Mayor Lionheart;;Zootopia
M;Mechanicles;;Aladdin (TV series)
M;Meeko;;Pocahontas
MB;Megabyte Beagle;;DuckTales
M;Megara;;Hercules
M;Megavolt;;Darkwing Duck
M;Melody;;The Little Mermaid II: Return to the Sea
M;Melinda;;Fantasia
M;Melpomene;;Hercules
M;Melvin;;Chicken Little
M;Mena;;Bambi II
M;Merlin;;The Sword in the Stone
MM;Merlock the Magician;;DuckTales
M;Merryweather;;Sleeping Beauty
MD;Michael Darling;;Peter Pan
MM;Mickey Mouse;;Steamboat Willie
MM;Mike the Microphone;;House of Mouse
M;Mildred;;Meet the Robinsons
MT;Milo Thatch;;Atlantis: The Lost Empire
M;Mindy;;Bolt
MM;Minnie Mouse;;Plane Crazy
MZ;Minty Zaki;;Wreck-It Ralph
M;Mirage;;Aladdin (TV series)
MW;Miranda Wright;;Bonkers
MB;Miss Bianca;;The Rescuers
MK;Miss Kitty;;The Great Mouse Detective
MN;Miss Nettle;;Sofia the First
M;Mittens;;Bolt
M;Moana;;Moana
M;Moley;;The Adventures of Ichabod and Mr. Toad
MA;Monsieur D'Arque;;Beauty and the Beast
M;Monstro;;Pinocchio
MJ;Monterey Jack;;Chip 'n Dale Rescue Rangers
M;Mooch;;Lady and the Tramp II: Scamp's Adventure
MP;Morcupine Porcupine;;Chicken Little
M;Morgana;;The Little Mermaid II: Return to the Sea
MM;Morgana McCawber;;Darkwing Duck
M;Morph;;Treasure Planet
MM;Mortimer Mouse;;Mickey's Rival
MF;Morty Fieldmouse;;Mickey's Steam Roller
MG;Mother Gothel;;Tangled
MR;Mother Rabbit;;Robin Hood
M;Mowgli;;The Jungle Book
M;Mozenrath;;Aladdin (TV series)
MA;Mr. Arrow;;Treasure Planet
MB;Mr. Big;;Zootopia
MP;Mr. Pettibone;;Mickey Mouse Clubhouse
MS;Mr. Smee;;Peter Pan
MS;Mr. Snoops;;The Rescuers
MS;Mr. Stork;;Dumbo
MW;Mr. Willerstein;;Meet the Robinsons
MW;Mr. Woolensworth;;Chicken Little
MC;Mrs. Calloway;;Home on the Range
